report_id,description,nature,event,sif_label,label_source
OSHA-2025099215,"An employee was cutting the top of an empty scrap barrel that previously contained antifreeze. The bottom of the barrel blew out due to pressure that built up and caused his jeans to catch fire, resulting in burns.",Thermal burns degree unspecified,"Explosion of pressure vessel, piping, or tire",YES,weak
OSHA-2020099244,"An employee was disassembling metal racking. A piece of racking fell and struck the employee, causing head trauma. The employee was hospitalized.","Intracranial injuries, unspecified","Struck by falling object or equipment, unspecified",YES,weak
OSHA-2015052801,"An employee operating an alfalfa bagging machine fell into the machine's hopper. The hopper's paddle wheels struck the employee, lacerating the employee's stomach and breaking the employee's arm and leg (unknown side).",Fractures,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2015010487,An employee fell from the platform of a 3-step ladder when taking products down from the shelf.,"Traumatic injuries and disorders, unspecified",Other fall to lower level less than 6 feet,YES,weak
OSHA-2021087048,"An employee was standing on a portable stair platform, using a flashlight to see if there was a water leak under a conveyor. Her left lower arm was caught between the conveyor belt and a roller. She suffered three fractures to the lower left arm between the wrist and elbow.",Fractures,"Caught in running equipment or machinery, n.e.c.",YES,weak
OSHA-2016054611,An employee's left thumb tip was amputated while he was cutting a bearing with a chop saw.,Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2025010112,"At about 10:00 a.m. on January 6, 2025, an employee slipped and fell on ice in the driveway while leaving a group home. She suffered a hip injury and was hospitalized.",Traumatic injuries or exposures unspecified,Fall on same level due to slip or trip,NO,weak
OSHA-2020032693,"An employee was on a catwalk, cutting into a tank so it could be scrapped. A spark got into a nearby tank, causing an explosion. The employee suffered a broken jaw and lacerations to the face.",Fractures,"Explosion of pressure vessel, piping, or tire",YES,weak
OSHA-20221210589,"An employee was adjusting a steel plate on top of an I-beam so that they could be welded together for an order. The metal plate fell onto the employee's left middle finger, resulting in amputation. Their ring finger was also injured.",Amputations,"Struck by object or equipment, unspecified",YES,weak
OSHA-2015064145,"An employee placed his right hand on top of a the cylinder of a tamping machine. The tamper came down onto the cylinder, pinching his right little finger and causing an injury that required the amputation of a portion of the right little finger.",Amputations,Caught in running equipment or machinery during regular operation,YES,weak
